,2020_PM25,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
df_2020_PM25,count,43.0,66.0,12.0,0.0,1.0,6.0,0.0,1.0,0.0,10.0,29.0,28.0
df_2020_PM25,mean,86.0,82.0,85.0,,79.0,85.0,,85.0,,78.0,82.0,80.0
df_2020_PM25,std,8.0,6.0,12.0,,,11.0,,,,3.0,5.0,5.0
df_2020_PM25,min,75.0,75.0,76.0,,79.0,75.0,,85.0,,75.0,75.0,75.0
df_2020_PM25,25%,79.0,78.0,78.0,,79.0,78.0,,85.0,,76.0,78.0,77.0
df_2020_PM25,50%,82.0,80.0,81.0,,79.0,82.0,,85.0,,78.0,81.0,80.0
df_2020_PM25,75%,91.0,84.0,90.0,,79.0,88.0,,85.0,,80.0,85.0,82.0
df_2020_PM25,max,105.0,110.0,119.0,,79.0,106.0,,85.0,,83.0,91.0,96.0
df_2020_PM10,count,0.0,10.0,1.0,33.0,38.0,3.0,0.0,0.0,0.0,23.0,0.0,0.0
df_2020_PM10,mean,,159.0,199.0,193.0,208.0,153.0,,,,178.0,,
df_2020_PM10,std,,5.0,,31.0,47.0,3.0,,,,19.0,,
df_2020_PM10,min,,151.0,199.0,150.0,156.0,151.0,,,,151.0,,
df_2020_PM10,25%,,157.0,199.0,168.0,182.0,152.0,,,,163.0,,
df_2020_PM10,50%,,159.0,199.0,187.0,193.0,152.0,,,,180.0,,
df_2020_PM10,75%,,161.0,199.0,217.0,220.0,154.0,,,,185.0,,
df_2020_PM10,max,,167.0,199.0,282.0,380.0,157.0,,,,218.0,,
