,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,서울,PM25,2018,2018년도 1분기,94.0
1,서울,PM25,2019,2019년도 4분기,98.0
2,서울,PM25,2019,2019년도 2분기,81.0
3,서울,PM25,2020,2020년도 1분기,80.0
4,서울,PM25,2021,2021년도 2분기,120.0
5,서울,PM25,2022,2022년도 4분기,76.0
6,서울,PM25,2023,2023년도 2분기,110.0
7,서울,PM10,2018,2018년도 4분기,277.0
8,서울,PM10,2018,2018년도 2분기,241.0
9,서울,PM10,2019,2019년도 2분기,159.0
10,서울,PM10,2020,2020년도 4분기,152.0
11,서울,PM10,2020,2020년도 1분기,157.0
12,서울,PM10,2021,2021년도 4분기,172.0
13,서울,PM10,2022,2022년도 4분기,251.0
14,서울,PM10,2022,2022년도 2분기,167.0
15,서울,PM10,2022,2022년도 1분기,204.0
