,2023_PM25,2023-01,2023-02,2023-03,2023-04,2023-05
df_2023_PM25,count,83.0,44.0,35.0,56.0,1.0
df_2023_PM25,mean,90.0,80.0,82.0,102.0,75.0
df_2023_PM25,std,28.0,6.0,9.0,30.0,
df_2023_PM25,min,62.0,75.0,75.0,62.0,75.0
df_2023_PM25,25%,78.0,76.0,76.0,83.0,75.0
df_2023_PM25,50%,82.0,78.0,80.0,93.0,75.0
df_2023_PM25,75%,85.0,82.0,84.0,109.0,75.0
df_2023_PM25,max,188.0,106.0,117.0,205.0,75.0
df_2023_PM10,count,63.0,0.0,68.0,331.0,62.0
df_2023_PM10,mean,174.0,,212.0,251.0,181.0
df_2023_PM10,std,26.0,,71.0,111.0,32.0
df_2023_PM10,min,150.0,,134.0,105.0,131.0
df_2023_PM10,25%,157.0,,157.0,148.0,162.0
df_2023_PM10,50%,165.0,,188.0,219.0,168.0
df_2023_PM10,75%,176.0,,251.0,334.0,194.0
df_2023_PM10,max,255.0,,390.0,615.0,309.0
