,2018_PM25,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
df_2018_PM25,count,43.0,2.0,0.0,10.0,3.0,0.0,0.0,13.0,78.0,50.0
df_2018_PM25,mean,98.0,96.0,,110.0,80.0,,,84.0,83.0,82.0
df_2018_PM25,std,8.0,6.0,,23.0,2.0,,,9.0,8.0,8.0
df_2018_PM25,min,90.0,92.0,,93.0,78.0,,,75.0,75.0,75.0
df_2018_PM25,25%,93.0,94.0,,95.0,79.0,,,78.0,78.0,77.0
df_2018_PM25,50%,96.0,96.0,,101.0,80.0,,,80.0,81.0,80.0
df_2018_PM25,75%,99.0,98.0,,109.0,81.0,,,89.0,87.0,84.0
df_2018_PM25,max,130.0,100.0,,164.0,82.0,,,108.0,123.0,125.0
df_2018_PM10,count,18.0,187.0,2.0,3.0,0.0,0.0,0.0,1.0,136.0,7.0
df_2018_PM10,mean,164.0,215.0,167.0,215.0,,,,163.0,209.0,162.0
df_2018_PM10,std,12.0,71.0,24.0,20.0,,,,,57.0,8.0
df_2018_PM10,min,151.0,104.0,150.0,193.0,,,,163.0,121.0,151.0
df_2018_PM10,25%,154.0,164.0,158.0,207.0,,,,163.0,164.0,156.0
df_2018_PM10,50%,160.0,198.0,167.0,221.0,,,,163.0,194.0,165.0
df_2018_PM10,75%,175.0,251.0,176.0,226.0,,,,163.0,236.0,168.0
df_2018_PM10,max,189.0,461.0,184.0,231.0,,,,163.0,384.0,172.0
